mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19.493725204467772,8.984294045837474,2.5299827575683596,1.9678734889916918,15,sqrt,2,10,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.516529301622133,0.5186779816940111,0.5148838614712785,0.5181134870651384,0.5015422208927086,0.513949370549054,0.006342969492914961,24,0.8362712726803038,0.8301009724288,0.834730491062028,0.8375016939798684,0.835881710163207,0.8348972280628413,0.0025562595980919895
23.731317281723022,0.6905686427310821,1.3930711269378662,0.8124934602350468,15,sqrt,2,15,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5202224870297835,0.5151448857964814,0.5236816402924206,0.5194638225513909,0.5021436962407488,0.5161313063821651,0.007503029099051449,10,0.7967616024833842,0.7940240206946,0.7974480490353724,0.8001092934500642,0.800272849690355,0.7977231630707552,0.002318553896718573
22.03440480232239,1.0573296971939807,2.696126842498779,0.8391982620885554,15,sqrt,2,20,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5181174885921876,0.5185571510785228,0.5247145888163014,0.5172790514953275,0.5023377711391399,0.5162012102242959,0.007416965420116946,9,0.7677141263852727,0.7637807104214809,0.7671265284448393,0.7664928923683281,0.7685710129292199,0.7667370541098282,0.0016290701887851685
23.2296706199646,1.2965375466493276,1.5107576847076416,1.1800686536327891,15,sqrt,3,10,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.5182574638541294,0.5171800864051131,0.5210619888776943,0.5210070432244432,0.4972223950324428,0.5149457954787646,0.008991381125057927,18,0.8248466064395604,0.8201672702161452,0.8254588355790903,0.8282420159295683,0.8244418272134945,0.8246313110755719,0.002597379578304635
18.68758659362793,4.698104925769051,3.133001518249512,2.139726990988706,15,sqrt,3,15,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5131081217262726,0.5176107855288038,0.5270124988948938,0.5154138806684953,0.4984556122871808,0.5143201798211292,0.009233339794480367,21,0.7913181342044702,0.785640602331481,0.79052677508282,0.7910186999309167,0.7920949161314629,0.7901198255362301,0.002296691104724867
14.2162926197052,0.06657525107199468,4.9321386337280275,0.0953535101971264,15,sqrt,3,20,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.5211030216464225,0.5210006571291746,0.5245485885162826,0.5180160273934239,0.5036861432028493,0.5176708875776306,0.0072919390624786385,5,0.7614327346069222,0.7578993535481972,0.7609247861227416,0.7630907453594934,0.7635467370912826,0.7613788713457273,0.0019973128585041118
19.445514965057374,4.217637346287299,3.8006518363952635,0.9781728471874934,15,sqrt,4,10,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.515902874068682,0.5181841369072903,0.5271725937882069,0.517453256700774,0.5025379463591115,0.5162501615648128,0.007907372239354313,8,0.8166012706635475,0.8093945548175862,0.8135225522906416,0.8148097729277147,0.8183550096845998,0.8145366320768179,0.0030458713802946936
22.510277938842773,2.4144358865754225,3.9307985305786133,0.9826927841102198,15,sqrt,4,15,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15, 'model__n_estimators': 200}",0.5192690994082195,0.5227022636244351,0.5242916053718895,0.517737969406201,0.5063744110288444,0.518075069767918,0.006300809412532359,4,0.7831672401754802,0.7777026693680479,0.7838227252181854,0.7834732770425256,0.7833045830903975,0.7822940989789273,0.0023061586521890337
21.05666561126709,2.8563948576470155,4.1452470302581785,1.3864606012139014,15,sqrt,4,20,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.516316962421111,0.5274425406369999,0.5211869305764169,0.513552569710351,0.5011450439024165,0.5159288094494591,0.008770071213185793,11,0.7582111682114485,0.7535457446514969,0.7555390377176928,0.7592678605350844,0.759128921441779,0.7571385465115003,0.002241104257816892
15.926950263977051,0.321745420976105,0.9825075149536133,0.24562974430759504,15,sqrt,5,10,200,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.515303501817467,0.5119820729134034,0.5223536132739666,0.5176876641829278,0.5018042510823045,0.5138262206540138,0.0068954791556499135,25,0.8024633203571807,0.7977595455118279,0.7982996273197437,0.8049544858756721,0.8025983234952777,0.8012150605119404,0.0027530058404367785
